datadate,수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러)
201301,195334.0,168896.0,120.0,43.0,168853.0
201302,542759.0,398263.0,0.0,0.0,398263.0
201303,754310.0,512307.0,23000.0,8968.0,503339.0
201304,1661983.0,857421.0,15967.0,11468.0,845953.0
201305,3715350.0,1645039.0,0.0,0.0,1645039.0
201306,5613881.0,2687534.0,0.0,0.0,2687534.0
201307,1517806.0,870125.0,14685.0,5287.0,864838.0
201308,25710.0,44102.0,109825.0,48126.0,-4024.0
201309,68550.0,91165.0,86915.0,31503.0,59662.0
201310,3900887.0,2139266.0,37260.0,12141.0,2127125.0
201311,4589152.0,2171942.0,0.0,0.0,2171942.0
201312,2707540.0,1451232.0,0.0,0.0,1451232.0
201401,1796144.0,1051253.0,0.0,0.0,1051253.0
201402,2165951.0,1548358.0,18326.0,11636.0,1536722.0
201403,2317983.0,1741852.0,0.0,0.0,1741852.0
201404,719191.0,514989.0,48523.0,38830.0,476159.0
201405,2981984.0,1860575.0,16170.0,15497.0,1845078.0
201406,5095026.0,2649730.0,0.0,0.0,2649730.0
201407,1359237.0,920142.0,0.0,0.0,920142.0
201408,114536.0,116899.0,0.0,0.0,116899.0
201409,856200.0,839506.0,0.0,0.0,839506.0
201410,2130033.0,1471527.0,0.0,0.0,1471527.0
201411,2811054.0,1813152.0,0.0,0.0,1813152.0
201412,1248605.0,788193.0,0.0,0.0,788193.0
201501,2118234.0,1154561.0,24000.0,7481.0,1147080.0
201502,4773529.0,2715285.0,15000.0,4696.0,2710589.0
201503,1828199.0,1115843.0,0.0,0.0,1115843.0
201504,2903879.0,1601634.0,2.0,40.0,1601594.0
201505,4793176.0,2563207.0,0.0,0.0,2563207.0
201506,4316854.0,2669382.0,0.0,0.0,2669382.0
201507,2427707.0,1735713.0,0.0,0.0,1735713.0
201508,1274660.0,1057799.0,0.0,0.0,1057799.0
201509,33198.0,41188.0,0.0,0.0,41188.0
201510,371708.0,266089.0,276116.0,62151.0,203938.0
201511,1381422.0,969045.0,135275.0,34970.0,934075.0
201512,2465784.0,1978145.0,0.0,0.0,1978145.0
201601,666684.0,512944.0,0.0,0.0,512944.0
201602,1598492.0,1277531.0,0.0,0.0,1277531.0
201603,681506.0,555927.0,5.0,45.0,555882.0
201604,1615561.0,1150417.0,24.0,159.0,1150258.0
201605,1757025.0,1155657.0,0.0,0.0,1155657.0
201606,5097899.0,2922676.0,0.0,0.0,2922676.0
201607,891027.0,564644.0,0.0,0.0,564644.0
201608,113363.0,111356.0,500.0,2230.0,109126.0
201609,11376.0,33611.0,231980.0,105176.0,-71565.0
201610,1848628.0,1317272.0,303058.0,135287.0,1181985.0
201611,6474715.0,4608405.0,1610.0,4690.0,4603715.0
201612,3656465.0,2555732.0,105600.0,66003.0,2489729.0
