datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원)
20130101,,,,,,,,
20130102,3743.74,17.0,63563.5,2.0,350402.0,35040202.0,500 ,2454.1337975903616
20130102,3166.83,54.0,171171.0,2.0,371501.0,37150102.0,800 ,2454.1337975903616
20130102,12317.67,6.0,74074.0,1.0,380201.0,38020101.0,800 ,2454.1337975903616
20130102,3256.74,54.0,176306.13,1.0,320201.0,32020102.0,138 ,2454.1337975903616
20130102,2352.35,108.0,254254.0,6.0,350101.0,35010102.0,561 ,2454.1337975903616
20130102,3056.94,72.0,220220.0,3.0,320201.0,32020101.0,138 ,2454.1337975903616
20130102,3003.0,360.0,1078920.0,1.0,210001.0,21000101.0,157 ,2454.1337975903616
20130102,2892.89,972.0,2810808.0,1.0,210001.0,21000102.0,800 ,2454.1337975903616
20130102,3173.17,36.0,114114.0,1.0,330201.0,33020101.0,471 ,2454.1337975903616
20130102,40.04,360.0,13013.0,1.0,350402.0,35040201.0,560 ,2454.1337975903616
20130102,3223.22,36.0,115884.0,1.0,371501.0,37150101.0,702 ,2454.1337975903616
20130103,3166.83,18.0,56943.0,1.0,371501.0,37150102.0,800 ,2950.710248592045
20130103,3153.15,323.0,1016982.0,6.0,220001.0,22000105.0,702 ,2950.710248592045
20130103,5705.7,20.0,114114.0,2.0,370101.0,37010103.0,800 ,2950.710248592045
20130103,2907.09,1134.0,3306303.0,2.0,311201.0,31120106.0,800 ,2950.710248592045
20130103,2942.94,360.0,1061060.0,5.0,230001.0,23000102.0,800 ,2950.710248592045
20130103,3666.33,75.0,274725.0,1.0,330101.0,33010102.0,800 ,2950.710248592045
20130103,3243.24,918.0,2967030.0,20.0,380201.0,38020102.0,800 ,2950.710248592045
20130103,3533.53,17.0,59940.0,1.0,350101.0,35010102.0,561 ,2950.710248592045
20130103,3196.8,108.0,345654.0,3.0,370101.0,37010101.0,800 ,2950.710248592045
