datadate,초기온도(℃),최대온도(℃),최저온도(℃),평균온도(℃),강수량(ml),습도(%)
20130101,-3.0,7.2,-6.0,0.0,0.0, 
20130102,2.0,9.5,1.0,4.3,0.0, 
20130103,-1.2,7.7,-6.1,-0.2,0.0, 
20130104,-1.9,9.6,-3.7,1.6,0.0, 
20130105,-3.7,8.9,-5.2,0.9,0.0, 
20130106,3.5,10.9,-2.1,4.2,0.0, 
20130107,-2.7,11.1,-4.7,1.2,0.0, 
20130108,-1.0,11.9,-1.8,5.2,0.0, 
20130109,4.0,5.3,-4.1,2.2,0.0, 
20130110,-5.3,2.9,-9.4,-4.7,0.0, 
20130111,-8.4,2.0,-14.0,-7.0,0.0, 
20130112,-1.5,3.5,-8.9,-3.4,0.0, 
20130113,-9.2,-1.0,-12.0,-7.3,0.0, 
20130114,-10.9,-4.1,-13.6,-9.6,0.0, 
20130115,-13.1,-1.0,-17.6,-10.7,0.0, 
20130116,-12.0,4.0,-16.0,-7.9,0.0, 
20130117,-9.7,5.0,-13.5,-5.8,0.0, 
20130118,-6.9,3.6,-9.5,-4.0,0.0, 
20130119,-5.9,5.2,-9.7,-3.5,0.0, 
20130120,-4.4,-1.0,-11.5,-4.7,1.5, 
20130121,-11.1,-1.1,-16.0,-8.4,1.5, 
20130122,-3.9,-3.3,-14.0,-7.5,0.0, 
20130123,-14.7,-2.8,-19.1,-12.1,0.0, 
20130124,-15.5,-1.0,-18.9,-11.1,0.0, 
20130125,-13.6,1.5,-17.7,-11.3,0.0, 
20130126,-12.3,3.2,-15.0,-5.4,0.0, 
20130127,2.8,4.0,-8.6,-1.7,6.3, 
20130128,-9.2,5.5,-13.2,-5.2,6.5, 
20130129,-1.2,1.5,-1.6,-0.3,2.6, 
20130130,-0.4,-1.0,-12.9,-5.3,3.5, 
20130131,-13.5,-1.0,-16.1,-10.2,0.0, 
20130201,-11.8,1.8,-11.8,-6.7,0.0, 
20130202,-9.8,4.2,-15.8,-7.2,0.0, 
20130203,-5.6,6.4,-8.4,-2.1,0.0, 
20130204,-5.0,3.2,-7.7,-2.4,0.0, 
20130205,0.3,3.0,-1.8,1.5,0.0, 
20130206,-1.8,3.4,-7.4,-2.7,0.0, 
