datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원),해당일자_전체거래물량(kg),하위가격 평균가(원),상위가격 평균가(원),하위가격 거래물량(kg),상위가격 거래물량(kg),일자별_도매가격_최대(원),일자별_도매가격_평균(원),일자별_도매가격_최소(원),일자별_소매가격_최대(원),일자별_소매가격_평균(원),일자별_소매가격_최소(원),수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러),주산지_0_초기온도(℃),주산지_0_최대온도(℃),주산지_0_최저온도(℃),주산지_0_평균온도(℃),주산지_0_강수량(ml),주산지_0_습도(%),주산지_1_초기온도(℃),주산지_1_최대온도(℃),주산지_1_최저온도(℃),주산지_1_평균온도(℃),주산지_1_강수량(ml),주산지_1_습도(%),주산지_2_초기온도(℃),주산지_2_최대온도(℃),주산지_2_최저온도(℃),주산지_2_평균온도(℃),주산지_2_강수량(ml),주산지_2_습도(%),일자구분_중순,일자구분_초순,일자구분_하순,월구분_10월,월구분_11월,월구분_12월,월구분_1월,월구분_2월,월구분_3월,월구분_4월,월구분_5월,월구분_6월,월구분_7월,월구분_8월,월구분_9월
20130101,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,3.5,11.1,3.1,6.2,0,60.3,,,,,,,-3.6,7.8,-6.3,-0.5,0,79.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130102,3743.74,17,63563.5,2,350402,35040202,500,2454.133798,2075,571.0833333,3002.526839,468,1607,75000,63600,58000,10000,8558.5,7000,0,0,921037,2116603,-2116603,5.2,12.9,3.3,7.9,0,60.8,,,,,,,-2.7,10.1,-5.2,1.4,0,79.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130103,3166.83,18,56943,1,371501,37150102,800,2950.710249,11364,2764.288709,3513.932861,8538,2826,75000,63200,58000,10000,8670.5,7000,0,0,921037,2116603,-2116603,7.1,11.6,2.3,6.9,0,47.2,,,,,,,-1.3,8.6,-4.8,1,0,69.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130104,3263.26,954,3104892,7,240001,24000103,800,3144.401253,8058,3003.925616,3329.667396,4583,3475,70000,62200,58000,10000,8670.5,7000,0,0,921037,2116603,-2116603,4.6,12.2,2.2,6.7,0,51.6,,,,,,,-1.2,9.7,-4.5,1.7,0,71.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130105,3223.22,918,2952045,7,240001,24000102,800,2927.145508,15214,2708.021844,3138.071821,7462,7752,70000,62200,58000,10000,8570.5,7000,0,0,921037,2116603,-2116603,5.3,8.9,3.3,6.6,3.2,72.4,,,,,,,-2.4,6.3,-4.4,0.9,0,82,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130106,3243.24,477,1542855.6,15,250003,25000301,800,3031.67588,12864,2865.667486,4123.342388,11166,1698,70000,62200,58000,10000,8570.5,7000,0,0,921037,2116603,-2116603,7.6,9.3,4.7,7,3.3,68.3,,,,,,,2.2,7.4,-2.4,3.4,0,79.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130107,2702.7,1062,2873871,19,230003,23000303,800,2846.804985,3972,2724.241046,2944.224763,1759,2213,,,,,,,0,0,921037,2116603,-2116603,3.7,10.2,1.2,5.8,0,72.2,,,,,,,-2.8,8.8,-3,1.1,0,83.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130108,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,10.6,11.1,8.2,9.9,2.5,73.7,,,,,,,2.8,10.8,1.8,5.3,0,78.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130109,3046.95,54,164415.42,1,320201,32020101,157,2895.328833,8028,2636.970384,3121.573568,3748,4280,70000,62200,58000,10000,8470.5,7000,0,0,921037,2116603,-2116603,7.9,10.7,3.8,7.5,2.6,55,,,,,,,3.7,8.3,-2.8,4.9,0,59.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130110,3666.33,285,1043955,7,330101,33010102,800,2753.299676,13843,1486.642433,3160.884409,3370,10473,70000,61200,58000,10000,8514.090909,7000,0,0,921037,2116603,-2116603,3.1,6.3,1,3.4,0,41,,,,,,,-3,3.4,-3.7,-0.7,0,49.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130111,3433.43,510,1751750,4,380401,38040102,800,3059.202361,10248,2881.642835,3241.538014,5192,5056,70000,61200,58000,10000,8514.090909,7000,0,0,921037,2116603,-2116603,-0.1,4,-3.8,0.2,0,33.9,,,,,,,-3,2.3,-8.1,-3.3,0,37.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130112,1681.68,100,167462.37,2,320101,32010102,157,2724.363887,7757,2423.245602,2955.919384,3372,4385,70000,61200,58000,10000,8376.086957,7000,0,0,921037,2116603,-2116603,0.4,8.6,1,4.6,0,45.8,,,,,,,-2.5,3.5,-4.1,-0.2,0,56.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130113,2922.92,954,2784782,15,250001,25000102,800,2868.840306,13601,2702.760757,3065.104026,7367,6234,70000,61200,58000,10000,8376.086957,7000,0,0,921037,2116603,-2116603,0.5,5.6,-3,0.3,0,38.8,,,,,,,-2.4,1.2,-6.5,-3.9,0,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130114,2942.94,180,530530,1,250001,25000102,800,2981.098286,26574,2562.452459,3023.424292,2440,24134,,,,,,,0,0,921037,2116603,-2116603,-2.5,-1,-5.7,-3.7,0,33.9,,,,,,,-6.7,-3.7,-9.6,-6.7,0,35.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
