datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원),해당일자_전체거래물량(kg),하위가격 평균가(원),상위가격 평균가(원),하위가격 거래물량(kg),상위가격 거래물량(kg),일자별_도매가격_최대(원),일자별_도매가격_평균(원),일자별_도매가격_최소(원),일자별_소매가격_최대(원),일자별_소매가격_평균(원),일자별_소매가격_최소(원),수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러),주산지_0_초기온도(℃),주산지_0_최대온도(℃),주산지_0_최저온도(℃),주산지_0_평균온도(℃),주산지_0_강수량(ml),주산지_0_습도(%),주산지_1_초기온도(℃),주산지_1_최대온도(℃),주산지_1_최저온도(℃),주산지_1_평균온도(℃),주산지_1_강수량(ml),주산지_1_습도(%),주산지_2_초기온도(℃),주산지_2_최대온도(℃),주산지_2_최저온도(℃),주산지_2_평균온도(℃),주산지_2_강수량(ml),주산지_2_습도(%),일자구분_중순,일자구분_초순,일자구분_하순,월구분_10월,월구분_11월,월구분_12월,월구분_1월,월구분_2월,월구분_3월,월구분_4월,월구분_5월,월구분_6월,월구분_7월,월구분_8월,월구분_9월
20130101,,,,,,,,,,,,,,,,,,,,0.0,0.0,2868552.0,4836402.0,-4836402.0,1.3,9.5,-1.8,4.6,0.0, ,-1.3,10.5,-2.8,2.2,0.0,88.2,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130102,3806.19,16.0,61061.0,2.0,350402.0,35040202.0,500 ,6415.3691914995225,18846.0,4920.090300718132,6878.396483877694,4456.0,14390.0,150000.0,101846.15384615384,57000.0,14900.0,10446.888888888889,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,3.4,10.9,2.0,5.7,0.0, ,-1.4,10.7,-2.3,3.2,0.0,93.0,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130103,1941.94,30.0,58391.333,1.0,350301.0,35030102.0,570 ,5966.58335667945,103272.0,4615.422194591097,6774.3700150389905,38640.0,64632.0,150000.0,101846.15384615384,57000.0,14900.0,10446.888888888889,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,3.7,8.3,-3.3,3.2,0.0, ,-1.8,9.2,-4.8,0.4,0.0,89.6,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130104,3333.33,84.0,280280.0,3.0,350301.0,35030101.0,570 ,5447.441074060138,93019.0,3578.4293248851895,6566.682885388198,34840.0,58179.0,150000.0,101846.15384615384,57000.0,13930.0,10405.333333333334,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,0.1,10.0,1.0,5.5,0.0, ,-2.4,9.8,-3.3,2.1,0.0,90.1,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130105,2927.07,60.0,176176.0,3.0,380201.0,38020101.0,680 ,4379.732928662701,369386.0,4142.744178414299,6292.344573740302,328662.0,40724.0,150000.0,101307.69230769231,57000.0,13930.0,10517.111111111111,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-0.2,8.8,-2.2,4.5,0.0, ,-2.1,9.4,-2.7,3.5,0.0,75.2,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130106,6673.32,360.0,2401596.0,4.0,350301.0,35030102.0,570 ,5524.209936939945,68855.0,3486.888932273311,6683.273688039737,24968.0,43887.0,150000.0,101230.76923076923,57000.0,13930.0,10517.111111111111,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,6.5,11.5,2.3,7.0,0.0, ,6.5,12.4,1.0,6.8,0.0,69.4,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130107,6726.72,670.0,4499496.0,10.0,350301.0,35030101.0,570 ,5114.822793666279,42029.0,3203.1115321525886,6596.300121626758,18350.0,23679.0,,,,,,,0.0,0.0,2868552.0,4836402.0,-4836402.0,2.0,10.3,-2.1,4.0,0.0, ,2.1,10.1,-3.1,3.9,0.0,79.7,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130108,,,,,,,,,,,,,,,,,,,,0.0,0.0,2868552.0,4836402.0,-4836402.0,2.4,12.1,1.9,7.1,0.0, ,5.4,13.4,5.2,7.9,0.0,65.6,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130109,3503.5,40.0,140140.0,1.0,380401.0,38040102.0,660 ,5307.799035643381,64472.0,3783.2783200947224,6598.611144706691,29560.0,34912.0,150000.0,101615.38461538461,57000.0,13930.0,10574.666666666666,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,5.9,6.2,-1.4,4.6,0.0, ,6.2,8.7,-3.3,4.8,0.0,69.0,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130110,7757.75,120.0,930930.0,1.0,230003.0,23000301.0,355 ,5627.186791412331,114350.0,3754.532323128887,6533.885416712094,37304.0,77046.0,150000.0,101615.38461538461,57000.0,13930.0,10565.777777777777,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-1.5,2.7,-6.3,-1.6,0.0, ,-3.9,5.3,-5.3,-0.9,0.0,74.9,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20130111,2237.76,520.0,1162836.0,9.0,240001.0,24000103.0,690 ,4804.58284473021,123411.0,3371.7802615560286,6434.668477455786,65680.0,57731.0,150000.0,101615.38461538461,57000.0,13930.0,10565.777777777777,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-5.0,1.9,-9.3,-4.2,0.0, ,-4.2,1.4,-9.1,-4.8,0.0,75.3,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130112,8518.51,752.0,6406400.0,10.0,311201.0,31120106.0,152 ,4318.437965731076,539089.0,4123.431037730478,5943.670152058733,481335.0,57754.0,150000.0,101615.38461538461,57000.0,13930.0,10241.777777777777,8000.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-1.1,3.0,-3.8,-0.3,0.0, ,-2.7,8.0,-5.5,-0.2,0.0,83.8,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130113,2252.25,80.0,179820.0,4.0,310901.0,31090105.0,695 ,5340.694524525911,83687.0,2944.8072062483243,6427.72518159394,26119.0,57568.0,150000.0,102000.0,57000.0,13930.0,10145.333333333334,7990.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-4.4,-1.0,-8.4,-4.6,0.0, ,-5.9,2.7,-8.2,-4.6,0.0,81.6,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130114,6336.33,180.0,1140139.0,4.0,230001.0,23000103.0,356 ,5023.986680554486,65069.0,2971.023130849599,6532.985779590966,27566.0,37503.0,,,,,,,0.0,0.0,2868552.0,4836402.0,-4836402.0,-6.5,-3.7,-9.1,-6.5,0.0, ,-5.4,-1.0,-7.7,-4.4,0.0,54.1,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130115,,,,,,,,,,,,,,,,,,,,0.0,0.0,2868552.0,4836402.0,-4836402.0,-8.4,-1.0,-12.8,-6.6,0.0, ,-8.4,1.3,-12.5,-7.9,0.0,66.3,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130116,3096.9,80.0,247752.0,3.0,210009.0,21000903.0,695 ,5052.333713118918,76767.0,3204.526409474492,6323.287776993601,31284.0,45483.0,150000.0,102000.0,57000.0,13930.0,10145.333333333334,7990.0,0.0,0.0,2868552.0,4836402.0,-4836402.0,-7.8,3.3,-12.3,-5.6,0.0, ,-8.9,4.9,-11.5,-5.5,0.0,70.3,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
